date,entropy
2023-06-14,3.556339015749368
2023-06-15,3.9237876453643046
2023-06-16,3.9463573737255677
2023-06-17,3.4437427827851206
2023-06-18,3.833832990443376
2023-06-19,3.8910072516854575
2023-06-20,3.687718928189851
2023-06-21,3.8438232142204294
2023-06-22,3.8406260348016743
2023-06-23,3.5964012220507056
2023-06-24,2.7014752295200912
2023-06-25,3.466916502171874
2023-06-26,3.279407337742423
2023-06-27,3.2704116709435747
2023-06-28,3.963648020677392
2023-06-29,3.91342403655183
2023-06-30,3.813477688543667
2023-07-01,3.463159092180134
2023-07-02,3.841998662122206
2023-07-03,3.5094202269951342
2023-07-04,3.8880506352168993
2023-07-09,3.412865883503093
2023-07-15,3.588476932831083
2023-07-16,3.531889558355223
2023-07-18,3.6561115967484072
